127.0.0.1 - - [05/Jun/2023:14:45:28 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [05/Jun/2023:14:45:30 +0900] "GET /studentInfo2/ch09/studentInfo.jsp HTTP/1.1" 200 861
0:0:0:0:0:0:0:1 - - [05/Jun/2023:14:45:30 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [05/Jun/2023:14:45:32 +0900] "GET /studentInfo2/studentControl HTTP/1.1" 200 861
0:0:0:0:0:0:0:1 - - [05/Jun/2023:14:45:48 +0900] "POST /studentInfo2/studentControl?action=insert HTTP/1.1" 200 861
0:0:0:0:0:0:0:1 - - [05/Jun/2023:14:45:51 +0900] "GET /studentInfo2/studentControl HTTP/1.1" 200 861
0:0:0:0:0:0:0:1 - - [05/Jun/2023:14:45:57 +0900] "POST /studentInfo2/studentControl?action=insert HTTP/1.1" 200 861
0:0:0:0:0:0:0:1 - - [05/Jun/2023:14:46:16 +0900] "GET /studentInfo2/studentControl HTTP/1.1" 200 861
0:0:0:0:0:0:0:1 - - [05/Jun/2023:14:46:28 +0900] "POST /studentInfo2/studentControl?action=insert HTTP/1.1" 200 861
0:0:0:0:0:0:0:1 - - [05/Jun/2023:14:46:31 +0900] "GET /studentInfo2/studentControl HTTP/1.1" 200 861
0:0:0:0:0:0:0:1 - - [05/Jun/2023:14:46:31 +0900] "GET /studentInfo2/studentControl HTTP/1.1" 200 861
0:0:0:0:0:0:0:1 - - [05/Jun/2023:14:46:32 +0900] "GET /studentInfo2/studentControl HTTP/1.1" 200 861
0:0:0:0:0:0:0:1 - - [05/Jun/2023:14:46:32 +0900] "GET /studentInfo2/studentControl HTTP/1.1" 200 861
0:0:0:0:0:0:0:1 - - [05/Jun/2023:14:46:32 +0900] "GET /studentInfo2/studentControl HTTP/1.1" 200 861
0:0:0:0:0:0:0:1 - - [05/Jun/2023:14:46:33 +0900] "GET /studentInfo2/studentControl HTTP/1.1" 200 861
0:0:0:0:0:0:0:1 - - [05/Jun/2023:14:46:34 +0900] "GET /studentInfo2/studentControl HTTP/1.1" 200 861
